NoOfEvals,MyRexJggKTabletP14K2_0,MyRexJggKTabletP14K2_1,MyRexJggKTabletP14K2_2
40,489938.257340348,350982.4886444117,469074.2795890929
80,337047.2742226553,350982.4886444117,379589.04601940745
120,337047.2742226553,274922.01238308114,341848.3441666373
160,240511.16410498222,221748.35005267654,276941.61053004616
200,240511.16410498222,221748.35005267654,276941.61053004616
240,240511.16410498222,221748.35005267654,276941.61053004616
280,240511.16410498222,220010.81258555787,247700.36967815796
320,240511.16410498222,210890.57103221974,247700.36967815796
360,240511.16410498222,210890.57103221974,247700.36967815796
400,203016.41455579808,210890.57103221974,247700.36967815796
440,203016.41455579808,210890.57103221974,176632.95124596806
480,176453.70523697961,210890.57103221974,176632.95124596806
520,203016.41455579808,210890.57103221974,176632.95124596806
560,203016.41455579808,210890.57103221974,128299.29262815951
600,203016.41455579808,199748.0144168992,176632.95124596806
640,203016.41455579808,199748.0144168992,141544.5924384266
680,219261.26891719294,199748.0144168992,141544.5924384266
720,219261.26891719294,199748.0144168992,141544.5924384266
760,240511.16410498222,199748.0144168992,141544.5924384266
800,240511.16410498222,199748.0144168992,141544.5924384266
840,123015.20606774776,199748.0144168992,141544.5924384266
880,123015.20606774776,199748.0144168992,141544.5924384266
920,123015.20606774776,102334.15133250243,141544.5924384266
960,123015.20606774776,102334.15133250243,141544.5924384266
1000,123015.20606774776,140827.45817447477,141544.5924384266
1040,123015.20606774776,140827.45817447477,141544.5924384266
1080,123015.20606774776,147212.48995216825,193670.9491318032
1120,151019.0298337435,132068.77142934306,193670.9491318032
1160,151019.0298337435,132068.77142934306,193670.9491318032
1200,151019.0298337435,132068.77142934306,98347.91973212431
1240,153812.0523919704,132068.77142934306,98347.91973212431
1280,153812.0523919704,132068.77142934306,98347.91973212431
1320,153812.0523919704,132068.77142934306,98347.91973212431
1360,153812.0523919704,132068.77142934306,98347.91973212431
1400,147716.0595351687,132068.77142934306,98347.91973212431
1440,82449.23587397677,132068.77142934306,98347.91973212431
1480,82449.23587397677,132068.77142934306,98347.91973212431
1520,82449.23587397677,132068.77142934306,98347.91973212431
1560,82449.23587397677,132068.77142934306,98347.91973212431
1600,82449.23587397677,131568.8444572238,98347.91973212431
1640,82449.23587397677,102251.24762429188,135281.35385962288
1680,82449.23587397677,96268.71573177644,135281.35385962288
1720,82449.23587397677,58946.47467684332,135281.35385962288
1760,82449.23587397677,58946.47467684332,135281.35385962288
1800,82449.23587397677,58946.47467684332,96729.23619550857
1840,82449.23587397677,84982.12912161622,96729.23619550857
1880,71624.65791900507,84982.12912161622,96729.23619550857
1920,71624.65791900507,84982.12912161622,110824.0585961525
1960,71624.65791900507,84982.12912161622,110824.0585961525
2000,71624.65791900507,69057.70793434589,110824.0585961525
2040,71624.65791900507,76027.81555365639,110824.0585961525
2080,71624.65791900507,52809.00086350774,110824.0585961525
2120,71624.65791900507,52809.00086350774,100795.6576327198
2160,71624.65791900507,52809.00086350774,100795.6576327198
2200,71624.65791900507,52809.00086350774,59309.55885624239
2240,71624.65791900507,52809.00086350774,59309.55885624239
2280,71624.65791900507,52809.00086350774,43360.699845927025
2320,32561.94012686142,52809.00086350774,59309.55885624239
2360,32561.94012686142,52809.00086350774,54019.004948080226
2400,32561.94012686142,52809.00086350774,54019.004948080226
2440,71624.65791900507,52809.00086350774,54019.004948080226
2480,71624.65791900507,52809.00086350774,54019.004948080226
2520,71624.65791900507,52809.00086350774,54019.004948080226
2560,71624.65791900507,52809.00086350774,54019.004948080226
2600,71624.65791900507,52809.00086350774,54019.004948080226
2640,65346.8274487622,52809.00086350774,54019.004948080226
2680,65346.8274487622,41553.93082972613,54019.004948080226
2720,65346.8274487622,41553.93082972613,54019.004948080226
2760,49597.69172906969,48835.903344671824,54019.004948080226
2800,49597.69172906969,48835.903344671824,54019.004948080226
2840,49597.69172906969,47873.73982207767,54019.004948080226
2880,49597.69172906969,47873.73982207767,54019.004948080226
2920,49597.69172906969,47873.73982207767,54019.004948080226
2960,49597.69172906969,47873.73982207767,43882.92863093133
3000,49597.69172906969,44372.445460982846,43882.92863093133
3040,49597.69172906969,44372.445460982846,43882.92863093133
3080,43436.97216375806,44372.445460982846,43882.92863093133
3120,43436.97216375806,44372.445460982846,43882.92863093133
3160,43436.97216375806,44372.445460982846,43882.92863093133
3200,43436.97216375806,42781.877037460465,43882.92863093133
3240,39634.99685697429,42781.877037460465,43882.92863093133
3280,34739.65363454111,42781.877037460465,28786.703036331688
3320,34739.65363454111,37095.40819005893,28786.703036331688
3360,39634.99685697429,37095.40819005893,28786.703036331688
3400,25804.914257845874,37095.40819005893,28786.703036331688
3440,25804.914257845874,26748.099775400224,28786.703036331688
3480,25804.914257845874,26748.099775400224,28786.703036331688
3520,25804.914257845874,26748.099775400224,28786.703036331688
3560,25804.914257845874,26748.099775400224,28786.703036331688
3600,25804.914257845874,26748.099775400224,28786.703036331688
3640,25804.914257845874,26748.099775400224,28786.703036331688
3680,25804.914257845874,25975.918362358545,28786.703036331688
3720,25804.914257845874,25975.918362358545,28786.703036331688
3760,26716.060331330216,25975.918362358545,28786.703036331688
3800,26716.060331330216,24526.254317246472,28786.703036331688
3840,26716.060331330216,24526.254317246472,28786.703036331688
3880,26716.060331330216,16437.39167284289,28786.703036331688
3920,26716.060331330216,24717.72650863241,28786.703036331688
3960,26716.060331330216,24717.72650863241,28786.703036331688
4000,26716.060331330216,24717.72650863241,28786.703036331688
4040,26716.060331330216,24717.72650863241,28786.703036331688
4080,24897.418062130404,23022.894576947434,28786.703036331688
4120,24897.418062130404,23022.894576947434,28786.703036331688
4160,24897.418062130404,22296.439015200936,28786.703036331688
4200,24561.60144054655,20236.09942609142,28786.703036331688
4240,24561.60144054655,20236.09942609142,24374.81990214793
4280,24561.60144054655,20236.09942609142,24374.81990214793
4320,24561.60144054655,20236.09942609142,24374.81990214793
4360,24561.60144054655,20236.09942609142,24374.81990214793
4400,19824.66281756819,23851.874209272395,24374.81990214793
4440,19824.66281756819,23851.874209272395,24374.81990214793
4480,19824.66281756819,23851.874209272395,24374.81990214793
4520,19824.66281756819,19683.323557682197,24374.81990214793
4560,19824.66281756819,19683.323557682197,21125.27535257433
4600,20663.17617908508,19683.323557682197,18852.239424689054
4640,20663.17617908508,14293.11786610844,18852.239424689054
4680,20663.17617908508,14293.11786610844,16930.47072725342
4720,17756.80250674643,14293.11786610844,14628.2749203806
4760,23320.707323143735,12798.222253423477,14628.2749203806
4800,23320.707323143735,12798.222253423477,14628.2749203806
4840,23320.707323143735,12798.222253423477,14628.2749203806
4880,23320.707323143735,12798.222253423477,14628.2749203806
4920,22868.511368389045,14293.11786610844,14628.2749203806
4960,22868.511368389045,14293.11786610844,14516.044375289077
5000,9772.675772344688,14293.11786610844,14516.044375289077
5040,9772.675772344688,15781.917338822794,14516.044375289077
5080,9772.675772344688,15781.917338822794,14516.044375289077
5120,9772.675772344688,15781.917338822794,14516.044375289077
5160,9772.675772344688,15781.917338822794,14516.044375289077
5200,10451.974613844426,15781.917338822794,14516.044375289077
5240,10451.974613844426,15414.512533219327,14628.2749203806
5280,15622.135436874401,15414.512533219327,14628.2749203806
5320,15622.135436874401,15414.512533219327,14628.2749203806
5360,14992.184714823097,13994.558417566217,14628.2749203806
5400,14992.184714823097,11811.334019774846,11529.360494009125
5440,14992.184714823097,11811.334019774846,11529.360494009125
5480,14992.184714823097,11811.334019774846,11529.360494009125
5520,14992.184714823097,9890.363702296336,11529.360494009125
5560,13794.3057648775,9890.363702296336,11529.360494009125
5600,13794.3057648775,9890.363702296336,11529.360494009125
5640,13794.3057648775,9890.363702296336,6971.533286969347
5680,13794.3057648775,7485.020278627212,6971.533286969347
5720,13794.3057648775,7485.020278627212,6971.533286969347
5760,10628.160135471133,9890.363702296336,6971.533286969347
5800,10628.160135471133,9890.363702296336,6971.533286969347
5840,10628.160135471133,9895.500504741105,6971.533286969347
5880,10628.160135471133,9895.500504741105,6971.533286969347
5920,10628.160135471133,9895.500504741105,6971.533286969347
5960,10628.160135471133,9895.500504741105,6971.533286969347
6000,10628.160135471133,9895.500504741105,6971.533286969347
6040,8637.399725369984,9895.500504741105,6971.533286969347
6080,6687.28286789039,8930.19656927214,6971.533286969347
6120,6687.28286789039,7793.163697149318,6971.533286969347
6160,6687.28286789039,7793.163697149318,6971.533286969347
6200,6687.28286789039,7793.163697149318,6971.533286969347
6240,6687.28286789039,6792.528687153534,10496.774007308246
6280,6687.28286789039,6792.528687153534,8514.68593501816
6320,6687.28286789039,6792.528687153534,8514.68593501816
6360,6687.28286789039,6707.337538676616,6699.871538357971
6400,6687.28286789039,6707.337538676616,6487.143026609349
6440,8404.97568866375,6707.337538676616,6487.143026609349
6480,7125.562272443312,6707.337538676616,6487.143026609349
6520,7125.562272443312,6707.337538676616,6487.143026609349
6560,7125.562272443312,6707.337538676616,6487.143026609349
6600,7125.562272443312,6576.869791665906,6487.143026609349
6640,7125.562272443312,5785.241279687514,6487.143026609349
6680,7125.562272443312,5785.241279687514,6487.143026609349
6720,7125.562272443312,5785.241279687514,6003.674704730901
6760,7125.562272443312,5479.764193451893,6003.674704730901
6800,7125.562272443312,5261.041341015313,6003.674704730901
6840,7125.562272443312,5169.021599116069,6003.674704730901
6880,6539.291938471747,5169.021599116069,6003.674704730901
6920,6539.291938471747,4090.4023435425274,6003.674704730901
6960,6539.291938471747,4090.4023435425274,6003.674704730901
7000,6521.953231429363,4461.5475142665055,4393.297977076208
7040,4611.167864115171,3435.4041898825535,4393.297977076208
7080,4611.167864115171,3435.4041898825535,4393.297977076208
7120,4611.167864115171,3435.4041898825535,4393.297977076208
7160,4560.900936206905,3435.4041898825535,4393.297977076208
7200,4560.900936206905,3435.4041898825535,4393.297977076208
7240,4900.5504721423595,3435.4041898825535,3771.4170755839273
7280,4900.5504721423595,3435.4041898825535,3771.4170755839273
7320,4900.5504721423595,3435.4041898825535,3771.4170755839273
7360,3494.1255629153598,3435.4041898825535,3771.4170755839273
7400,3494.1255629153598,2579.501944647558,3771.4170755839273
7440,3494.1255629153598,2579.501944647558,3771.4170755839273
7480,3494.1255629153598,2579.501944647558,2573.233668246395
7520,3494.1255629153598,2579.501944647558,2573.233668246395
7560,3494.1255629153598,2310.392810724561,2573.233668246395
7600,3494.1255629153598,2310.392810724561,2573.233668246395
7640,3494.1255629153598,2310.392810724561,2573.233668246395
7680,3494.1255629153598,2310.392810724561,2573.233668246395
7720,3494.1255629153598,2310.392810724561,2573.233668246395
7760,3494.1255629153598,2310.392810724561,2573.233668246395
7800,3494.1255629153598,2310.392810724561,2573.233668246395
7840,3494.1255629153598,2036.123212986048,2573.233668246395
7880,3494.1255629153598,2036.123212986048,2573.233668246395
7920,3494.1255629153598,2036.123212986048,2573.233668246395
7960,3056.6810256068134,2036.123212986048,2573.233668246395
8000,3056.6810256068134,2036.123212986048,1177.9672283911973
8040,3056.6810256068134,1868.6152184986108,1177.9672283911973
8080,3056.6810256068134,1868.6152184986108,1177.9672283911973
8120,3056.6810256068134,1868.6152184986108,1177.9672283911973
8160,3056.6810256068134,1868.6152184986108,1177.9672283911973
8200,2625.4948607987794,1868.6152184986108,1177.9672283911973
8240,2625.4948607987794,1868.6152184986108,1177.9672283911973
8280,1469.3559265911924,1665.9366572172191,1177.9672283911973
8320,1469.3559265911924,1665.9366572172191,1607.9660158315207
8360,1936.4035461488734,1665.9366572172191,1607.9660158315207
8400,1936.4035461488734,1665.9366572172191,1607.9660158315207
8440,1936.4035461488734,1665.9366572172191,1607.9660158315207
8480,1936.4035461488734,1665.9366572172191,1607.9660158315207
8520,1936.4035461488734,1665.9366572172191,1607.9660158315207
8560,1936.4035461488734,1665.9366572172191,1607.9660158315207
8600,2364.9680947401744,1665.9366572172191,1607.9660158315207
8640,2364.9680947401744,1665.9366572172191,1607.9660158315207
8680,1601.9478584977319,1665.9366572172191,1607.9660158315207
8720,1601.9478584977319,1055.153295193771,1607.9660158315207
8760,1601.9478584977319,1055.153295193771,1716.2273559086386
8800,1601.9478584977319,1055.153295193771,1716.2273559086386
8840,1601.9478584977319,1055.153295193771,1716.2273559086386
8880,1601.9478584977319,1055.153295193771,1045.1440744060976
8920,1181.9710112709354,1055.153295193771,1045.1440744060976
8960,1181.9710112709354,1055.153295193771,1045.1440744060976
9000,1181.9710112709354,1055.153295193771,943.0825068771355
9040,1181.9710112709354,1055.153295193771,943.0825068771355
9080,1181.9710112709354,1055.153295193771,943.0825068771355
9120,1181.9710112709354,1055.153295193771,943.0825068771355
9160,1181.9710112709354,1055.153295193771,943.0825068771355
9200,1181.9710112709354,813.2601514646838,943.0825068771355
9240,965.0986815023545,813.2601514646838,943.0825068771355
9280,965.0986815023545,813.2601514646838,943.0825068771355
9320,1181.9710112709354,813.2601514646838,943.0825068771355
9360,1181.9710112709354,813.2601514646838,943.0825068771355
9400,1181.9710112709354,813.2601514646838,943.0825068771355
9440,1181.9710112709354,813.2601514646838,943.0825068771355
9480,1181.9710112709354,813.2601514646838,943.0825068771355
9520,1181.9710112709354,951.3569565263927,943.0825068771355
9560,1181.9710112709354,951.3569565263927,943.0825068771355
9600,1181.9710112709354,845.465158914854,943.0825068771355
9640,1151.6216400902174,951.3569565263927,943.0825068771355
9680,1181.9710112709354,951.3569565263927,943.0825068771355
9720,1181.9710112709354,718.2244704517558,943.0825068771355
9760,659.971126894232,718.2244704517558,943.0825068771355
9800,659.971126894232,718.2244704517558,943.0825068771355
9840,659.971126894232,718.2244704517558,943.0825068771355
9880,659.971126894232,757.2468756160051,943.0825068771355
9920,659.971126894232,534.8287544216682,533.3887775060097
9960,659.971126894232,534.8287544216682,533.3887775060097
10000,659.971126894232,534.8287544216682,533.3887775060097
10040,659.971126894232,534.8287544216682,533.3887775060097
